ra,dec,hr,multiple,vmag,sptype
12h01m29.0s,-57d30m13s,HR4592,G,6.16,A0V
12h04m38.7s,-68d19m45s,HR4604,G,5.35,A0IV
12h10m02.5s,-34d42m18s,HR4628,W,6.17,A0V
12h13m36.7s,-33d47m34s,HR4651,W,6.33,A0V
12h16m23.5s,-72d36m53s,HR4664,G,6.22,A0V
12h17m06.0s,-65d41m34s,HR4669,G,6.06,A0V
12h17m47.3s,-36d05m38s,HR4675,W,6.15,A0V
12h22m10.8s,+24d46m26s,HR4705,G,6.19,A0V
12h28m18.9s,-64d20m29s,HR4744,G,6.04,A0Vn
12h33m46.8s,-09d27m07s,HR4781,G,5.48,A0V
12h34m51.1s,+22d37m45s,HR4789,W,4.81,A0IV
12h36m01.2s,-39d52m12s,HR4796,W,5.80,A0V
12h39m16.9s,+35d57m07s,HR4816,G,6.45,A0pSrCrEu
12h41m53.1s,+10d14m08s,HR4828,G,4.88,A0V
12h43m58.7s,-36d20m57s,HR4838,G,6.39,A0V
12h47m02.3s,+05d57m03s,HR4854,G,6.34,A0pSrEuCr
12h50m19.6s,-48d27m35s,HR4871,G,6.24,A0V
12h50m41.2s,-33d59m58s,HR4874,W,4.91,A0IV
12h52m05.3s,-48d05m39s,HR4880,G,6.33,A0IV
12h51m57.9s,-26d44m17s,HR4881,G,6.15,A0III
12h49m06.6s,+83d25m05s,HR4892,G,5.85,A0V+A2V
12h54m01.7s,+55d57m35s,HR4905,G,1.77,A0pCr
12h55m53.3s,-15d19m37s,HR4911,G,6.17,A0Vn
12h56m01.7s,+38d19m06s,HR4915,G,2.90,A0pSiEuHg
13h03m33.2s,-49d31m38s,HR4933,G,4.85,A0V
13h06m54.3s,-35d51m43s,HR4947,G,6.54,A0IV-III
13h12m48.9s,-66d13m37s,HR4977,G,5.90,A0Vm:
13h18m34.6s,-51d17m10s,HR5016,G,6.19,A0V
13h18m14.5s,+49d40m55s,HR5023,G,5.15,A0V
13h27m06.3s,-49d08m38s,HR5061,W,6.31,A0III-IV
13h33m35.7s,-65d37m57s,HR5093,G,6.37,A0V
13h34m07.3s,+55d20m55s,HR5109,G,5.60,A0V
13h41m30.9s,-23d26m59s,HR5146,G,6.59,A0
13h44m15.9s,-51d00m47s,HR5158,G,6.47,A0pSiCr
13h46m56.4s,-36d15m07s,HR5174,W,5.15,A0V
13h50m06.5s,-29d04m53s,HR5197,G,6.18,A0V
13h53m51.0s,+53d43m43s,HR5238,G,5.70,A0V
13h58m38.9s,+21d41m46s,HR5255,G,5.76,A0V
14h04m23.3s,+64d22m33s,HR5291,G,3.65,A0III
14h12m15.8s,+02d24m34s,HR5313,G,5.01,A0VpSi
14h16m23.0s,+46d05m18s,HR5351,G,4.18,A0p
14h18m38.3s,-18d42m58s,HR5355,G,5.90,A0pCrEu
14h20m33.4s,-37d53m07s,HR5367,W,4.05,A0IV
14h23m22.7s,+08d26m48s,HR5386,G,5.12,A0V
14h28m43.5s,-59d11m52s,HR5403,G,6.45,A0II-III
14h29m49.7s,+31d47m28s,HR5422,G,6.06,A0V
14h41m01.4s,-36d08m06s,HR5466,G,5.67,A0p:
14h44m59.2s,-35d11m31s,HR5489,G,4.92,A0V
14h46m14.9s,+01d53m34s,HR5511,G,3.72,A0V
